match_id,season,date,venue,team_1,team_2,winner,win_by_runs,win_by_wickets,player_of_match
1082591,2017,2017-04-05,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,35,,
1082592,2017,2017-04-06,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,,7,
1082593,2017,2017-04-07,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,,10,
1082594,2017,2017-04-08,Holkar Cricket Stadium,Kings XI Punjab,Rising Pune Supergiant,Kings XI Punjab,,6,
1082595,2017,2017-04-08,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,15,,
1082596,2017,2017-04-09,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,,9,
1082597,2017,2017-04-09,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,,4,
1082598,2017,2017-04-10,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,,8,
1082599,2017,2017-04-11,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Daredevils,Delhi Daredevils,97,,
1082600,2017,2017-04-12,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,,4,
1082601,2017,2017-04-13,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,,8,
1082602,2017,2017-04-14,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,,4,
1082603,2017,2017-04-14,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,,7,
1082604,2017,2017-04-15,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,17,,
1082605,2017,2017-04-15,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,51,,
1082606,2017,2017-04-16,Wankhede Stadium,Mumbai Indians,Gujarat Lions,Mumbai Indians,,6,
1082607,2017,2017-04-16,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rising Pune Supergiant,Rising Pune Supergiant,27,,
1082608,2017,2017-04-17,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,,4,
1082609,2017,2017-04-17,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,5,,
1082610,2017,2017-04-18,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,21,,
1082611,2017,2017-04-19,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,15,,
